CLIENT_IDENTIFIER,ISSUER_NAME,ISSUERID,CIK_NUM,ISSUER_ISIN,ISSUER_LEI,ISSUER_TICKER,AE_DIST_MAX_REV_PCT,ESG_CONTROVERSIES_COVERED,CARBON_EMISSIONS_SCOPE_3_TOTAL,GENERAT_THERMAL_COAL_PCT,FIREARM_PROD_MAX_REV_PCT,IVA_COMPANY_RATING,EU_TAXONOMY_ELIGIBLE_MAX_REV,ENVIRONMENT_TOXIC_FLAG,AE_PROD_MAX_REV_PCT,CONTRO_WEAP_CBLMBW_ANYTIE,FIREARM_RET_MAX_REV_PCT,ENERGY_CONSUMP_INTEN_EUR,GENDER_PAY_GAP_RATIO,MET_COAL_MAX_REV_PCT,PCT_NONRENEW_CONSUMP_PROD,PROD_CIV_ARMS_AUTO,ENVIRONMENT_LAND_FLAG,PCT_TOTL_ERGY_CONSUMP_NONRENEW,CARBON_EMISSIONS_SCOPE_1,CARBON_EMISSIONS_SCOPE_2,TOB_DIST_MAX_REV_PCT,PCT_TOTL_ERGY_PRODUCT_NONRENEW,CARBON_EMISSIONS_SALES_EUR_SCOPE123_INTEN,LABOR_COMPLIANCE_CORE,FEMALE_DIRECTORS_PCT,ANI_TEST_POLICY,OPS_PROT_BIODIV_AREAS,IVA_RATING_TREND,LABOR_DDIL_POL_ILO,ACTIVE_FF_SECTOR_EXPOSURE,ENVIRONMENT_CLIMATE_FLAG,WATER_EM_EFF_METRIC_TONS,OVERALL_FLAG,MECH_UN_GLOBAL_COMPACT,CARBON_EMISSIONS_EVIC_EUR_SCOPE123_INTEN,THERMAL_COAL_MAX_REV_PCT,TOTL_ERGY_CONSUMP_RENEW_GWH,OPS_PROT_BIODIV_CONTROVS,ANI_FACTORY_FARM,UNGC_COMPLIANCE,EST_EU_TAXONOMY_MAX_REV,PRED_LEND_MAX_REV,TOTL_ERGY_CONSUMP_NONRENEW_GWH,TOTL_ERGY_CONSUMP_GWH,CWEAP_TIE,FUR_PRODUCER,NON_PHARMCEUTICAL_TESTER,TOB_SUPP_MAX_REV_PCT,CONV_OIL_GAS_MAX_REV_PCT,HAZARD_WASTE_METRIC_TON,WEAP_MAX_REV_PCT,CARBON_EMISSIONS_SCOPE123
"","""CINEMARK HOLDINGS, INC.""","""IID000000002123682""",,"""US17243V1026""","""549300LL2QMPTYIE0K55""","""CNK""",,true,348181.84,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,8263.0,33454.0,,,194.56015067103587,"""Pass""",27.2727272727,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",50.19240005034063,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,258420.08897518326
"","""SALLY BEAUTY HOLDINGS, INC.""","""IID000000002123684""",,"""US79546E1047""","""529900VXW6E8ONDIQ271""","""SBH""",,true,690759.01,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,6708.0,60217.0,,,229.79321912539123,"""Pass""",66.6666666667,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Yellow""","""No Evidence""",231.5445852104304,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,768322.8198745106
"","""CSX Corporation""","""IID000000002123685""",,"""US1264081035""","""549300JVQR4N1MMP3Q88""","""CSX""",,true,4221327.54,,,,100.0,"""Green""",,"""No""",,1.45,,,99.8604485686,,"""Green""",99.8604485686,4080649.0,133532.0,,,606.1264718911327,"""Pass""",27.2727272727,,"""Not Disclosed""",,"""Yes""","""Yes""","""Green""",,"""Yellow""","""No Evidence""",108.95305766143038,,22.24472224,"""Not Disclosed""",,"""Pass""",0.0,,15917.9158460677,15940.1605683077,,,,,,172.96370144,,8435508.537829952
"","""Coterra Energy Inc.""","""IID000000002123686""",,"""US1270971039""","""FCNMH6O7VWU7LHXMK351""","""CTRA""",,true,8.527495293E7,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,2299468.0,250045.0,,,9851.866855460328,"""Pass""",40.0,,"""Not Disclosed""",,"""Yes""","""Yes""","""Green""",,"""Yellow""","""No Evidence""",4362.452919452061,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,0.0,,,8.782446592911695E7
"","""OIL STATES INTERNATIONAL, INC.""","""IID000000002123687""",,"""US6780261052""","""5493004TF4KQJGMYL777""","""OIS""",,true,531787.68,,,,97.2,"""Green""",,"""No""",,,,,,,"""Green""",,21100.0,16800.0,,,949.2606234378131,"""Pass""",42.8571428571,,,,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",1059.0974968886017,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,478436.70324445696
"","""CTS CORPORATION""","""IID000000002123689""",,"""US1265011056""","""549300YV1HQLBVHOI649""","""CTS""",,true,208276.42,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,5674.0,59894.0,,,548.7007494146864,"""Pass""",16.6666666667,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""Yes""",224.01903931788775,,,"""Not Disclosed""",,"""Pass""",0.29,,,,,,,,,,,247489.51406722283
"","""Magna International Inc.""","""IID000000002123690""",,"""CA5592224011""","""95RWVLFZX6VGDZNNTN43""","""MG""",,true,9.090501286E7,,,,100.0,"""Green""",,"""No""",,0.17,28.4,,91.8,,"""Green""",91.8,370527.0,1090432.0,,,2707.6717728199874,"""Pass""",38.4615384615,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",4579.900705530028,,444.028196,"""Not Disclosed""",,"""Pass""",7.97,,4970.949804,5414.978,,,,,,,,9.236597186090384E7
"","""THE SCOTTS MIRACLE-GRO COMPANY""","""IID000000002123691""",,"""US8101861065""","""2TH9E0JTOUXOEGI2R879""","""SMG""",,true,1.172748296E7,,,,100.0,"""Green""",,"""No""",,0.1,,,,,"""Green""",,57481.0,55018.0,,,3156.705807867715,"""Pass""",25.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",1448.5144639037428,,,"""Not Disclosed""",,"""Pass""",0.0,,,407.0058336589,,,,,,,,1.341454759876617E7
"","""THE GOODYEAR TIRE & RUBBER COMPANY""","""IID000000002123692""",,"""US3825501014""","""5493002BI0S2ZQUY3437""","""GT""",,true,1.591071986E7,,,,96.86,"""Green""",,"""No""",,0.93,,,8.025751073,,"""Green""",8.025751073,1297000.0,1172000.0,,,942.8385494787036,"""Pass""",26.6666666667,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Yellow""","""No Evidence""",1641.8424165677034,,366.66666696,"""Not Disclosed""",,"""Pass""",0.0,,1142.777778692,14238.88890028,,,,,,,,1.8379719861236315E7
"","""THE J. M. SMUCKER COMPANY""","""IID000000002123695""",,"""US8326964058""","""5493000WDH6A0LHDJD55""","""SJM""",,true,6687050.67,,,,0.0,"""Green""",,"""No""",,0.2,,,99.47,,"""Green""",99.47,197694.0,186434.0,,,931.431690919919,"""Pass""",36.3636363636,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",388.2830725452629,,8.1489723121,"""Not Disclosed""",,"""Pass""",0.0,,1529.3929733624,1537.5419456745,,,,,,,,7062352.673111846
